address,address2,adminattributes,attributes,chain_id,city,closed,coming_soon,country,distributor_name,geo_accuracy,hash_primary,hash_secondary,latitude,longitude,other_fields,phone_number,scrape_id,state,store_hours,store_name,store_number,store_type,store_uid,zip_code
D400 Tuscola Blvd. Suite E400,Outlets at Tuscola,,,,Tuscola,,,US,,,,,39.7884172,-88.2668638,,1-217-253-2066,,IL,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 11:00am-5:00pm",Jockey Outlet,33,,67,61953
"11961 N. Executive Dr, Suite A-50",Edinburgh Premium Outlets,,,,Edinburgh,,,US,,,,,39.310948,-85.9641459,,1-812-526-6765,,IN,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,35,,70,46124
"6245 N. Old 27, Suite B-20",The Outlet Shoppes at Fremont,,,,Fremont,,,US,,,,,41.73341,-85.00243,,1-260-833-6779,,IN,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,34,,69,46737
507 Lighthouse Place,Lighthouse Place Premium Outlets,,,,Michigan City,,,US,,,,,41.7148725,-86.9089506,,1-219-872-5700,,IN,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,2,,7,46360
503 Tanger Drive,Tanger Outlets/Williamsburg,,,,Williamsburg,,,US,,,,,41.67028,-92.01773,,1-319-668-9524,,IA,"Monday to Friday- 11:00am-6:00pm,Saturday- 11:00am-6:00pm,Sunday- 11:00am-5:00pm",Jockey Outlet,17,,36,52361
1811 Village West Parkway,Legends Outlets,,,,Kansas City,,,US,,,,,39.1257925,-94.82436080000001,,1-913-334-4455,,KS,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,80,,137,66111
1155 Buck Creek Road,The Outlet Shoppes of the Bluegrass,,,,Simpsonville,,,US,,,,,38.2059819,-85.35153919999999,,1-502-722-8353,,KY,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,115,,167,40067
100 Main Street,Freeport Maine Outlets,,,,Freeport,,,US,,,,,43.857573,-70.102365,,1-207-865-4224,,ME,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 11:00am-7:00pm",Jockey Outlet,59,,108,04032
345 US Route 1,Kittery Premium Outlets,,,,Kittery,,,US,,,,,43.116151,-70.730311,,1-207-439-8221,,ME,"Wed-Sat 11am-6pm
Sun 12pm-5pm
Mon & Tues CLOSED",Jockey Outlet,48,,90,03904
135 Premium Outlets Blvd.,Hagerstown Premium Outlets,,,,Hagerstown,,,US,,,,,39.60985,-77.72984,,1-301-766-4770,,MD,"Wed-Sun 11a-6p
Mon & Tues CLOSED",Jockey Outlet,63,,112,21740
"6800 Oxon Hill Road, Suite 630 ",Tanger Outlets/National Harbor,,,,National Harbor,,,US,,,,,38.7948488,-77.0014573,,1-301-567-1239,,MD,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 11:00am-7:00pm",Jockey Outlet,112,,165,20745
520 Premium Outlets Blvd.,Lee Premium Outlets,,,,Lee,,,US,,,,,42.30351,-73.24225,,1-413-243-4440,,MA,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,57,,106,01238
"One Premium Outlets Blvd, Suite 750",Wrentham Village Premium Outlets,,,,Wrentham,,,US,,,,,42.036898,-71.3531504,,1-508-384-1199,,MA,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,61,,110,02093
"8825 Marketplace Drive, Suite H10", Birch Run Premium Outlets,,,,Birch Run,,,US,,,,,43.24522,-83.77793,,1-989-624-4404,,MI,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,3,,9,48855
1475 N. Burkhart Road Suite G-280,Tanger Outlets/Howell,,,,Howell,,,US,,,,,42.6226578,-83.99881119999999,,1-517-545-8672,,MI,"Sun-Tues 11a-7p
Thurs-Sat 11a-7p
Wed CLOSED",Jockey Outlet,55,,100,48855
"6415 LaBeaux Avenue NE, Suite B-190",Albertville Premium Outlets,,,,Albertville,,,US,,,,,45.246703,-93.6692029,,1-763-497-3435,,MN,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,69,,120,55301
3965 Eagan Outlets Parkway,Twin Cities Premium Outlets,,,,Eagan,,,US,,,,,44.8154153,-93.2147423,,1-651-454-5060,,MN,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,117,,169,55122
"300 Tanger Blvd, Suite 207",Tanger Outlets/Branson,,,,Branson,,,US,,,,,36.64561,-93.264291,,1-417-335-6186,,MO,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 11:00am-7:00pm",Jockey Outlet,36,,72,65616
"18511 Outlet Blvd, Suite 845",St. Louis Premium Outlets,,,,Chesterfield,,,US,,,,,38.6768772,-90.6612214,,1-636-778-2424 ,,MO,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,111,,164,63005
"4540 Osage Beach Parkway, Suite N-5",Osage Beach Premium Outlets,,,,Osage Beach,,,US,,,,,38.1435519,-92.6311022,,1-573-348-4220,,MO,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,9,,22,65065
7400 Las Vegas Blvd S,Las Vegas Premium Outlets-South,,,,Las Vegas,,,US,,,,,36.0525016,-115.1689034,,1-702-896-6602,,NV,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,53,,95,89123
875 South Grand Central Parkway,Las Vegas Premium Outlets-North,,,,Las Vegas,,,US,,,,,36.1632104,-115.1588086,,1-702-384-2123,,NV,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,75,,129,89106
"80 Premium Outlets Blvd, Suite 621",Merrimack Premium Outlets,,,,Merrimack,,,US,,,,,42.826505,-71.50052,,1-603-424-7270,,NH,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,97,,157,03054
"2 Common Court, Unit # D14",Settlers Green Outlet Village,,,,North Conway,,,US,,,,,44.022743,-71.112957,,1-603-356-0208,,NH,"Wed-Sat 11am-6p
Sun 12pm-5pm
CLOSED Mon & Tues
",Jockey Outlet,26,,55,03860
120 Laconia Road,Tanger Outlets/Tilton,,,,Tilton,,,US,,,,,43.459272,-71.562109,,1-603-286-9420,,NH,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 11:00am-7:00pm",Jockey Outlet,28,,57,03276
100 Premium Outlets Drive,Gloucester Premium Outlets,,,,Blackwood,,,US,,,,,39.7848289,-75.0528629,,1-856-302-4584,,NJ,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,122,,171,08012
"537 Monmouth Road, Suite 144",Jackson Premium Outlets,,,,Jackson,,,US,,,,,40.162843,-74.420072,,1-732-928-2860,,NJ,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,58,,107,08527
"1 Premium Outlets Blvd, Suite 705",Jersey Shore Premium Outlets,,,,Tinton Falls,,,US,,,,,40.2232661,-74.0968254,,1-732-493-1002,,NJ,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,90,,148,07753
640 Bluebird Ct,Woodbury Common Premium Outlets,,,,Central Valley,,,US,,,,,41.315174,-74.125913,,1-845-928-4527,,NY,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,16,,30,10917
"455 Commack Road, Suite 1215",Tanger Outlets At The Arches,,,,Deer Park,,,US,,,,,40.7631926,-73.3120811,,1-631-274-4969,,NY,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 11:00am-7:00pm",Jockey Outlet,96,,156,11729
1439 State Rte.9,French Mountain Commons,,,,Lake George,,,US,,,,,43.3654629,-73.7013525,,1-518-761-0965,,NY,"Monday to Friday- 10:00am-6:00pm,Saturday- 10:00am-6:00pm,Sunday- 10:00am-6:00pm",Jockey Outlet,70,,123,12845
1770 West Main Street,Tanger Outlets/Riverhead,,,,Riverhead,,,US,,,,,40.9202403,-72.7201653,,1-631-727-4773,,NY,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 11:00am-7:00pm",Jockey Outlet,24,,53,11901
"35B Richmond Terrace, Suite 336",Jockey at Empire Outlets,,,,Staten Island,,,US,,,,,40.64363,-74.07732,,917-935-4350,,NY,"Monday to Friday- 10:00am-6:00pm,Saturday- 10:00am-6:00pm,Sunday- 11:00am-6:00pm",Jockey Outlet,128,,400,10301
"655 Route 318, Suite 51",Waterloo Premium Outlets,,,,Waterloo,,,US,,,,,42.9551565,-76.9231005,,1-315-539-6037,,NY,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,40,,76,013165
"310 Shoppes on the Parkway Rd, Suite 26",Tanger Outlets/Blowing Rock,,,,Blowing Rock,,,US,,,,,36.141151,-81.671271,,1-828-295-0130,,NC,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 11:00am-7:00pm",Jockey Outlet,60,,109,28605
5404 New Fashion Way,Charlotte Premium Outlets,,,,Charlotte,,,US,,,,,35.1686285,-80.9720633,,1-704-587-0429,,NC,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,116,,168,28278
"4000 Arrowhead Blvd, Suite 530",Tanger Outlets/Mebane,,,,Mebane,,,US,,,,,36.0741815,-79.2659932,,1-919-304-3043,,NC,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 11:00am-7:00pm",Jockey Outlet,93,,153,27302
"1025 Industrial Park Dr, Suite 320",Carolina Premium Outlets,,,,Smithfield,,,US,,,,,35.5097142,-78.31395309999999,,1-919-989-7676,,NC,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,25,,54,27577
8625 Factory Shops Blvd.,Tanger Outlets/Jeffersonville,,,,Jeffersonville,,,US,,,,,39.6210669,-83.60117,,1-740-948-2650,,OH,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 11:00am-7:00pm",Jockey Outlet,10,,24,43128
807 Premium Outlet Drive,Cincinnati Premium Outlets,,,,Monroe,,,US,,,,,39.4351924,-84.3380552,,1-513-539-8502,,OH,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-5:00pm",Jockey Outlet,91,,149,45050
400 South Wilson Road Suite 840,Tanger Outlets Columbus,,,,Sunbury,,,US,,,,,40.2599751,-82.9243159,,1-740-965-4057,,OH,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 11:00am-7:00pm",Jockey Outlet,126,,174,43074
1500 SE E. Devils Lake Rd,Tanger Outlets/Lincoln City,,,,Lincoln City,,,US,,,,,44.959245,-124.012357,,1-541-996-4577,,OR,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 11:00am-7:00pm",Jockey Outlet,54,,98,97367
450 N.W. 257th Way,Columbia Gorge Premium Outlets,,,,Troutdale,,,US,,,,,45.543452,-122.390361,,1-503-666-5914,,OR,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,31,,63,97060
"1001 Arney Rd, Suite 1014",Woodburn Premium Outlets,,,,Woodburn,,,US,,,,,45.1561405,-122.878519,,1-503-981-9887,,OR,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,66,,115,97071
1911 Leesburg Grove City Rd, Grove City Premium Outlets,,,,Grove City,,,US,,,,,41.1409027,-80.1574239,,1-724-748-3532,,PA,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00am-6:00pm",Jockey Outlet,27,,56,16137
159 Outlet Square,Tanger Outlets/Hershey,,,,Hershey,,,US,,,,,40.296001,-76.64584099999999,,1-717-520-0880,,PA,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 11:00am-7:00pm",Jockey Outlet,43,,82,017033
308 Stanley K Tanger Blvd,Tanger Outlets/Lancaster,,,,Lancaster,,,US,,,,,40.025878,-76.2231104,,1-717-399-9460,,PA,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 11:00am-7:00pm",Jockey Outlet,113,,25,17602
"18 West Lightcap Road, Suite 1083",Philadelphia Premium Outlets,,,,Limerick,,,US,,,,,40.2364304,-75.5696988,,1-610-323-5599,,PA,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00am-6:00pm",Jockey Outlet,88,,146,19464
"1000 Crossing Outlet Square, Suite G-8",The Crossings Premium Outlets,,,,Tannersville,,,US,,,,,41.05406,-75.36063,,1-570-620-2125,,PA,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,44,,84,018372
"1254 Fording Island Rd, Suite 225",Tanger Outlets/Hilton Head,,,,Bluffton,,,US,,,,,32.2450146,-80.8328179,,1-843-815-3090,,SC,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 11:00am-7:00pm",Jockey Outlet,95,,155,29910
4630 Factory Stores Blvd,Tanger Outlets/Myrtle Beach- Hwy 501,,,,Myrtle Beach,,,US,,,,,33.7509199,-78.9593382,,1-843-588-1110,,SC,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 11:00am-7:00pm",Jockey Outlet,42,,80,29579
"10839 Kings Rd, Suite 758",Tanger Outlets/Myrtle Beach- Hwy 17,,,,North Myrtle Beach,,,US,,,,,33.7842551,-78.7747123,,1-843-497-1128,,SC,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 11:00am-7:00pm",Jockey Outlet,73,,126,29572
"1645 Parkway, Suite 1350",Tanger Outlets/Sevierville,,,,Sevierville,,,US,,,,,35.831499,-83.567357,,1-865-774-1413,,TN,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 11:00am-7:00pm",Jockey Outlet,103,,128,37862
"820 West Stacy Road, Suite 312",Allen Premium Outlets,,,,Allen,,,US,,,,,33.133338,-96.659978,,1-972-678-4990,,TX,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,79,,136,75013
"29300 Hempstead Rd, Suite 1208",Houston Premium Outlets,,,,Cypress,,,US,,,,,29.9970392,-95.7574674,,1-281-256-0288,,TX,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,94,,154,77433
"4401 North 1 H-35, Suite 717",Round Rock Premium Outlets,,,,Round Rock,,,US,,,,,30.5655691,-97.690339,,1-512-868-2900,,TX,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,83,,141,78664
3939 Interstate 35 S, San Marcos Premium Outlets,,,,San Marcos,,,US,,,,,29.829498,-97.9844077,,1-512-392-2960,,TX,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,13,,27,78666
301 Tanger Drive,Tanger Outlets/Terrell,,,,Terrell,,,US,,,,,32.7023387,-96.2856747,,1-972-524-1219,,TX,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 11:00am-7:00pm",Jockey Outlet,30,,60,75160
21 Essex Way,Essex Outlets,,,,Essex Junction,,,US,,,,,44.5069626,-73.08236889999999,,1-802-879-4655,,VT,"Wed-Sat 11a-6p
Sun 12p-5p
Mon & Tues CLOSED
",Jockey Outlet,51,,93,05452
367 Depot Street,Equinox Plaza,,,,Manchester,,,US,,,,,43.174708,-73.050235,,1-802-362-3555,,VT,"Wed- Sat 11a-6p
Sun 12p-5p
Mon & Tues CLOSED",Jockey Outlet,62,,111,05255
"241 Fort Evans Rd, Suite 713",Leesburg Corner Premium Outlets,,,,Leesburg,,,US,,,,,39.1068102,-77.53833829999999,,1-703-771-9530,,VA,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,65,,114,20176
5699-32 Richmond Rd, Williamsburg Premium Outlets,,,,Williamsburg,,,US,,,,,37.3185436,-76.73602260000001,,1-757-565-6380,,VA,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,68,,119,23188
"521 S. Fork Ave SW, Suite 461-H",North Bend Premium Outlets,,,,North Bend,,,US,,,,,47.4905457,-121.7943461,,1-425-831-5995,,WA,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,38,,74,98045
"10600 Quil Ceda Blvd, Suite 419A",Seattle Premium Outlets,,,,Tulalip,,,US,,,,,48.0933737,-122.189811,,1-360-716-3281,,WA,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,78,,133,98271
"5500-6th Ave, Suite 100",Jockey Factory Store,,,,Kenosha,,,US,,,,,42.5857455,-87.8211736,,1-262-654-5737,,WI,"Monday to Friday- 11:00am-5:00pm,Saturday- 11:00am-5:00pm,Sunday- 12:00am-5:00pm",Jockey Outlet,1,,2,53140
"3001 S Washburn St, Suite E-40",The Outlet Shoppes at Oshkosh,,,,Oshkosh,,,US,,,,,43.9834897,-88.5867012,,1-920-426-2593,,WI,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,18,,38,54904
"11211-120th Ave, Suite 17",Pleasant Prairie Premium Outlets,,,,Pleasant Prairie,,,US,,,,,42.5160528,-87.94948629999999,,1-262-857-3877,,WI,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00am-6:00pm",Jockey Outlet,77,,132,53158
