category,category_link,company,company_link,zone
"FREIGHT FORWARDERS,LOGISTICS,SHIPPING COMPANIES & AGENTS,","UFZOnlineDirectory.aspx?cat=FREIGHT FORWARDERS,LOGISTICS,SHIPPING COMPANIES & AGENTS,",AL BARRAK SHIPPING AGENCY CO. LLC,UFZCompanyDetails.aspx?details=17145,OUTSIDE
"ACCOMMODATION,,HOTEL,BANQUETING","UFZOnlineDirectory.aspx?cat=ACCOMMODATION,,HOTEL,BANQUETING",AL BUSTAN CENTRE & RESIDENCE,UFZCompanyDetails.aspx?details=17155,
"TYPING CENTRES,DOCUMENT MANAGEMENT SERVICES,,","UFZOnlineDirectory.aspx?cat=TYPING CENTRES,DOCUMENT MANAGEMENT SERVICES,,",AL GAZAL BUSINESSMEN SERVICES L.L.C,UFZCompanyDetails.aspx?details=17267,
,UFZOnlineDirectory.aspx?cat=,AL HABTOOR MOTORS,UFZCompanyDetails.aspx?details=2146,OUTSIDE
"LUXURY CARS,,,","UFZOnlineDirectory.aspx?cat=LUXURY CARS,,,",AL KETBI MOTORS,UFZCompanyDetails.aspx?details=17248,
"ACCOUNTANTS & AUDITORS,BUSINESS CONSULTANTS,CHARTERED ACCOUNTANTS,","UFZOnlineDirectory.aspx?cat=ACCOUNTANTS & AUDITORS,BUSINESS CONSULTANTS,CHARTERED ACCOUNTANTS,",AL KTTBI & ASSOCIATES CHARTERED ACCOUNTANTS ,UFZCompanyDetails.aspx?details=12519,OUTSIDE
,UFZOnlineDirectory.aspx?cat=,AL MANSOORI ELECTRICAL & PIPE FITTING CONTRACTING LLC,UFZCompanyDetails.aspx?details=17292,OUTSIDE
"TRANSPORT COMPANIES,,,","UFZOnlineDirectory.aspx?cat=TRANSPORT COMPANIES,,,",AL MASHAWEER TRANSPORT,UFZCompanyDetails.aspx?details=17259,
"LUXURY CARS,,,","UFZOnlineDirectory.aspx?cat=LUXURY CARS,,,",AL MIRAGE MOTORS,UFZCompanyDetails.aspx?details=17249,
"INTERIOR DECORATION,INTERIOR DESIGNERS,,","UFZOnlineDirectory.aspx?cat=INTERIOR DECORATION,INTERIOR DESIGNERS,,",AL MOHANAD INTERIORS DESIGN,UFZCompanyDetails.aspx?details=17146,
,UFZOnlineDirectory.aspx?cat=,Al Mubarak FZE,UFZCompanyDetails.aspx?details=4132,RAKIA
"BUILDERS,CONSTRUCTION,CONTRACTING,","UFZOnlineDirectory.aspx?cat=BUILDERS,CONSTRUCTION,CONTRACTING,",AL NOOR CONTRACTING EST,UFZCompanyDetails.aspx?details=12500,OUTSIDE
,UFZOnlineDirectory.aspx?cat=,AL SUWAIDI AND COMPANY ADVOCATES AND LEGAL CONSULTANTS,UFZCompanyDetails.aspx?details=10583,OUTSIDE
"CCTV EQUIPMENT,ELECTRONICS,MOBILES & CELLULAR PHONE,","UFZOnlineDirectory.aspx?cat=CCTV EQUIPMENT,ELECTRONICS,MOBILES & CELLULAR PHONE,",AL TAARAF ELECTRONICS,UFZCompanyDetails.aspx?details=12535,OUTSIDE
"CONSULTANTS,TELECOMMUNICATION EQUIPMENT & SYSTEMS,IT SOLUTIONS,","UFZOnlineDirectory.aspx?cat=CONSULTANTS,TELECOMMUNICATION EQUIPMENT & SYSTEMS,IT SOLUTIONS,",ALADA COMPANY NETWORK (FZE),UFZCompanyDetails.aspx?details=6276,SAIF-ZONE
"CATERERS,,,","UFZOnlineDirectory.aspx?cat=CATERERS,,,",ALBERT ABELA CO. SHJ. (L.L.C.),UFZCompanyDetails.aspx?details=17244,
"CATERERS,,,","UFZOnlineDirectory.aspx?cat=CATERERS,,,",ALBERT ABELA CO.SHJ.(LLC),UFZCompanyDetails.aspx?details=17246,
"Ventilation ,,,","UFZOnlineDirectory.aspx?cat=Ventilation ,,,",ALDES MIDDLE EAST,UFZCompanyDetails.aspx?details=17245,SAIF-ZONE
,UFZOnlineDirectory.aspx?cat=,ALESAYI UNITED CO.,UFZCompanyDetails.aspx?details=17285,
"KITCHEN & BATHROOM PRODUCTS & ACCESSORIES,KITCHEN APPLIANCES,ELECTRONICS,","UFZOnlineDirectory.aspx?cat=KITCHEN & BATHROOM PRODUCTS & ACCESSORIES,KITCHEN APPLIANCES,ELECTRONICS,",ALSA APOLLO KITCHENS INTERNATIONAL,UFZCompanyDetails.aspx?details=17206,OUTSIDE
"ACCOUNTANTS & AUDITORS,CONSULTANTS,COMPANY FORMATION,","UFZOnlineDirectory.aspx?cat=ACCOUNTANTS & AUDITORS,CONSULTANTS,COMPANY FORMATION,",ALYAH AUDITING ACCOUNTANTS ,UFZCompanyDetails.aspx?details=17149,
"INSPECTION SERVICES,TRAINING,,","UFZOnlineDirectory.aspx?cat=INSPECTION SERVICES,TRAINING,,",AM-ZONE INTERNATIONAL LTD,UFZCompanyDetails.aspx?details=17247,SAIF-ZONE
,UFZOnlineDirectory.aspx?cat=,AMANA CONTRACTING & STEEL BUILDINGS,UFZCompanyDetails.aspx?details=7599,OUTSIDE
,UFZOnlineDirectory.aspx?cat=,AMANA CONTRACTING & STEEL BUILDINGS,UFZCompanyDetails.aspx?details=7600,OUTSIDE
,UFZOnlineDirectory.aspx?cat=,AMC ADVERTISING & MARKETING CONSULTANTS,UFZCompanyDetails.aspx?details=7620,OUTSIDE
,UFZOnlineDirectory.aspx?cat=,AMCO GLOBAL MARKETING FZC,UFZCompanyDetails.aspx?details=497,SAIF-ZONE
"FREIGHT FORWARDERS,,,","UFZOnlineDirectory.aspx?cat=FREIGHT FORWARDERS,,,",AQUILINE INTERNATIONAL,UFZCompanyDetails.aspx?details=17240,SAIF-ZONE
"MANUFACTURERS,PIPES & PIPE FITTINGS,,","UFZOnlineDirectory.aspx?cat=MANUFACTURERS,PIPES & PIPE FITTINGS,,",ARABIAN PLASTIC MANUFACTURING CO. LIMITED,UFZCompanyDetails.aspx?details=9392,SAIF-ZONE
"COURIER SERVICES,FREIGHT FORWARDERS,LOGISTICS,","UFZOnlineDirectory.aspx?cat=COURIER SERVICES,FREIGHT FORWARDERS,LOGISTICS,",ARAMEX ,UFZCompanyDetails.aspx?details=12553,OUTSIDE
"EVENTS MANAGEMENT,,,","UFZOnlineDirectory.aspx?cat=EVENTS MANAGEMENT,,,",ARENEV CREATIONS EXHIBITIONS L.L.C.,UFZCompanyDetails.aspx?details=12581,OUTSIDE
"DESIGN,FEASIBILITY STUDIES,CONSULTANTS,SUPERVISION","UFZOnlineDirectory.aspx?cat=DESIGN,FEASIBILITY STUDIES,CONSULTANTS,SUPERVISION",ART OF ARCHITECTURE,UFZCompanyDetails.aspx?details=17150,
"INTERIOR DESIGNERS,INTERIOR DECORATION,,","UFZOnlineDirectory.aspx?cat=INTERIOR DESIGNERS,INTERIOR DECORATION,,",ARTALNA ARTS & CRAFTS,UFZCompanyDetails.aspx?details=17151,
,UFZOnlineDirectory.aspx?cat=,ASARIYO FZE,UFZCompanyDetails.aspx?details=14825,RAKIA
"COMPUTER PARTS & ACCESSORIES,COMPUTER SOFTWARE & HARDWARE,INFORMATION TECHNOLOGY & CONSULTATION SERVICES,","UFZOnlineDirectory.aspx?cat=COMPUTER PARTS & ACCESSORIES,COMPUTER SOFTWARE & HARDWARE,INFORMATION TECHNOLOGY & CONSULTATION SERVICES,",ASBIS MIDDLE EAST FZE,UFZCompanyDetails.aspx?details=1501,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,ASCOT INTERNATIONAL FZC,UFZCompanyDetails.aspx?details=15607,SAIF-ZONE
"AIRLINE REPRESENTATION,AVIATION SERVICES,GROUND HANDLING SUPERVISION,","UFZOnlineDirectory.aspx?cat=AIRLINE REPRESENTATION,AVIATION SERVICES,GROUND HANDLING SUPERVISION,",ASE GROUP,UFZCompanyDetails.aspx?details=15490,DUBAI AIRPORT FREEZONE
"GENERAL TRADING,,,","UFZOnlineDirectory.aspx?cat=GENERAL TRADING,,,",ASIA FARAN GROUP OF COMPANIES,UFZCompanyDetails.aspx?details=17263,OUTSIDE
"PUMPS,HYDRAULIC TOOLS & EQUIPMENT,,","UFZOnlineDirectory.aspx?cat=PUMPS,HYDRAULIC TOOLS & EQUIPMENT,,",ASIA WATER JET EQUIPMENT,UFZCompanyDetails.aspx?details=12625,JEBEL ALI FREE ZONE
"HIGH PRESSURE PUMP,PUMPS,WATER JET,","UFZOnlineDirectory.aspx?cat=HIGH PRESSURE PUMP,PUMPS,WATER JET,",ASIA WATERJET EQUIPMENT FZCO,UFZCompanyDetails.aspx?details=8143,JEBEL ALI FREE ZONE
"ACCOUNTANTS & AUDITORS,ACCOUNTING SERVICES,,","UFZOnlineDirectory.aspx?cat=ACCOUNTANTS & AUDITORS,ACCOUNTING SERVICES,,",ASP AUDITING AND CHARTERED ACCOUNTANTS,UFZCompanyDetails.aspx?details=8839,OUTSIDE
"ACCOUNTANTS & AUDITORS,BUSINESS CONSULTANTS,CHARTERED ACCOUNTANTS,","UFZOnlineDirectory.aspx?cat=ACCOUNTANTS & AUDITORS,BUSINESS CONSULTANTS,CHARTERED ACCOUNTANTS,",ASR Chartered Accountants ,UFZCompanyDetails.aspx?details=17170,OUTSIDE
,UFZOnlineDirectory.aspx?cat=,AVIATION SERVICES MANAGEMENT,UFZCompanyDetails.aspx?details=11516,DUBAI AIRPORT FREEZONE
"INSURANCE COMPANIES,MOTOR AND GENERAL INSURANCE,,","UFZOnlineDirectory.aspx?cat=INSURANCE COMPANIES,MOTOR AND GENERAL INSURANCE,,",AXA INSURANCE GULF ,UFZCompanyDetails.aspx?details=17152,
"LEGAL CONSULTANTS,ADVOCATES,LEGAL SERVICES,","UFZOnlineDirectory.aspx?cat=LEGAL CONSULTANTS,ADVOCATES,LEGAL SERVICES,",AXIOM MARK,UFZCompanyDetails.aspx?details=17265,
METAL & METAL PRODUCTS,UFZOnlineDirectory.aspx?cat=METAL & METAL PRODUCTS,A & A INTERNATIONAL GROUP CORPORATION,UFZCompanyDetails.aspx?details=2829,JEBEL ALI FREE ZONE
INVESTMENT CONSULTANTS,UFZOnlineDirectory.aspx?cat=INVESTMENT CONSULTANTS,A & A INVESTMENT HOLDING CO LLC FZC,UFZCompanyDetails.aspx?details=379,FUJAIRAH FREE ZONE
DOORS & GATES,UFZOnlineDirectory.aspx?cat=DOORS & GATES,A & B TRADING (FZE),UFZCompanyDetails.aspx?details=6567,SAIF-ZONE
,UFZOnlineDirectory.aspx?cat=,A & J SHOES CO - F..Z.C,UFZCompanyDetails.aspx?details=16556,AJMAN FREE ZONE
,UFZOnlineDirectory.aspx?cat=,A & O GENERAL TRADING - F.Z.E,UFZCompanyDetails.aspx?details=16557,AJMAN FREE ZONE
,UFZOnlineDirectory.aspx?cat=,A & P FZE,UFZCompanyDetails.aspx?details=10818,OUTSIDE
,UFZOnlineDirectory.aspx?cat=,A & V CORPORATION (FZC),UFZCompanyDetails.aspx?details=13213,SAIF-ZONE
,UFZOnlineDirectory.aspx?cat=,A & Z MEDICAL EQUIPMENT TRADING FZCO,UFZCompanyDetails.aspx?details=2472,JEBEL ALI FREE ZONE
DAIRY & DAIRY PRODUCTS,UFZOnlineDirectory.aspx?cat=DAIRY & DAIRY PRODUCTS,A & Z TRADING FZC,UFZCompanyDetails.aspx?details=170,FUJAIRAH FREE ZONE
GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING,A D COMPUTERS FZCO,UFZCompanyDetails.aspx?details=1991,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,A G MIDDLE EAST LIMITED,UFZCompanyDetails.aspx?details=809,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,A J SECURITY & SAFETY CONSULTANCIES - F.Z.C,UFZCompanyDetails.aspx?details=16420,AJMAN FREE ZONE
RESTAURANTS & CATERERS,UFZOnlineDirectory.aspx?cat=RESTAURANTS & CATERERS,A K ENTERPRISE FZ LLC,UFZCompanyDetails.aspx?details=431,DUBAI MEDIA CITY
,UFZOnlineDirectory.aspx?cat=,A M M INTERNATIONAL GENERAL TRADING - F.Z.E,UFZCompanyDetails.aspx?details=16558,AJMAN FREE ZONE
"ELECTRONIC APPLIANCES, EQUIPMENT & DEALERS","UFZOnlineDirectory.aspx?cat=ELECTRONIC APPLIANCES, EQUIPMENT & DEALERS",A N D GULF FZE,UFZCompanyDetails.aspx?details=942,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,A ONE K FZC,UFZCompanyDetails.aspx?details=13678,RAK FREE TRADE ZONE
,UFZOnlineDirectory.aspx?cat=,A ONE PLUS FZ-LLC,UFZCompanyDetails.aspx?details=14905,RAKIA
GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING,A ONE PLUS FZCO,UFZCompanyDetails.aspx?details=2962,JEBEL ALI FREE ZONE
ADVERTISING,UFZOnlineDirectory.aspx?cat=ADVERTISING,A R PARTNERSHIP GROUP FZ LLC,UFZCompanyDetails.aspx?details=4267,DUBAI MEDIA CITY
LOGISTICS,UFZOnlineDirectory.aspx?cat=LOGISTICS,A R SUMMIT (L.L.C.),UFZCompanyDetails.aspx?details=1431,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,A S L ENTERPRISE FZE,UFZCompanyDetails.aspx?details=7822,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,A T GROUP FZCO,UFZCompanyDetails.aspx?details=11179,JEBEL ALI FREE ZONE
MARKETING SERVICES,UFZOnlineDirectory.aspx?cat=MARKETING SERVICES,A TO Z PRINTING PRESS SERVICES (FZE),UFZCompanyDetails.aspx?details=9261,SAIF-ZONE
"ELECTRONIC APPLIANCES, EQUIPMENT & DEALERS","UFZOnlineDirectory.aspx?cat=ELECTRONIC APPLIANCES, EQUIPMENT & DEALERS",A V SOLUTIONS FZCO,UFZCompanyDetails.aspx?details=6185,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,A W ROSTAMANI LOGISTICS L.L.C,UFZCompanyDetails.aspx?details=7823,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,A-MEDEQ FZE,UFZCompanyDetails.aspx?details=8096,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,A-TECHNOLOGIES FZCO,UFZCompanyDetails.aspx?details=7588,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,A. A. G. MOTORS FZD,UFZCompanyDetails.aspx?details=12347,DUBAI AUTO ZONE
,UFZOnlineDirectory.aspx?cat=,A. B. I. MOTORS FZD,UFZCompanyDetails.aspx?details=12200,DUBAI AUTO ZONE
,UFZOnlineDirectory.aspx?cat=,A. B. MOTORS FZD,UFZCompanyDetails.aspx?details=12431,DUBAI AUTO ZONE
,UFZOnlineDirectory.aspx?cat=,A. I. T.,UFZCompanyDetails.aspx?details=7824,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,A. KAREEM MOTORS FZD,UFZCompanyDetails.aspx?details=12185,DUBAI AUTO ZONE
COMPUTER PARTS & ACCESSORIES,UFZOnlineDirectory.aspx?cat=COMPUTER PARTS & ACCESSORIES,A. M. ENTERPRISES FZE,UFZCompanyDetails.aspx?details=5607,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,A. M. TECH FZC,UFZCompanyDetails.aspx?details=13477,RAK FREE TRADE ZONE
"ELECTRONIC APPLIANCES, EQUIPMENT & DEALERS","UFZOnlineDirectory.aspx?cat=ELECTRONIC APPLIANCES, EQUIPMENT & DEALERS",A. R. ELECTRONIC CO.,UFZCompanyDetails.aspx?details=6166,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,A.A. PACKAGING INDUSTRY FZC,UFZCompanyDetails.aspx?details=10548,HAMRIYAH FREE ZONE
,UFZOnlineDirectory.aspx?cat=,A.B. INTERNATIONAL GARMENTS INDUSTRIES - F.Z.E,UFZCompanyDetails.aspx?details=16559,AJMAN FREE ZONE
,UFZOnlineDirectory.aspx?cat=,A.B.M TEXTILES INDUSTRY - F.Z.E,UFZCompanyDetails.aspx?details=16319,AJMAN FREE ZONE
,UFZOnlineDirectory.aspx?cat=,A.B.S EQUIPMENTS TRADING FZE,UFZCompanyDetails.aspx?details=10700,RAK FREE TRADE ZONE
,UFZOnlineDirectory.aspx?cat=,A.D. MIDDLE EAST FZE,UFZCompanyDetails.aspx?details=11555,DUBAI AIRPORT FREEZONE
,UFZOnlineDirectory.aspx?cat=,A.F.N TRADING FZE,UFZCompanyDetails.aspx?details=13503,RAK FREE TRADE ZONE
,UFZOnlineDirectory.aspx?cat=,A.G.S. SOLUTIONS (FZE),UFZCompanyDetails.aspx?details=15541,SAIF-ZONE
GENERAL TRADING,UFZOnlineDirectory.aspx?cat=GENERAL TRADING,A.H.D GENERAL TRADING FZC,UFZCompanyDetails.aspx?details=7441,FUJAIRAH FREE ZONE
,UFZOnlineDirectory.aspx?cat=,A.J. TRONICS FZCO,UFZCompanyDetails.aspx?details=3039,JEBEL ALI FREE ZONE
FOOD PRODUCTS - TRADERS & MANUFACTURERS,UFZOnlineDirectory.aspx?cat=FOOD PRODUCTS - TRADERS & MANUFACTURERS,A.J.B.M.C. INTERNATIONAL LTD,UFZCompanyDetails.aspx?details=201,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,A.K CORPORATION - F. Z E,UFZCompanyDetails.aspx?details=16560,AJMAN FREE ZONE
,UFZOnlineDirectory.aspx?cat=,A.M CONSULTANTS FZE,UFZCompanyDetails.aspx?details=13414,RAK FREE TRADE ZONE
,UFZOnlineDirectory.aspx?cat=,A.M. OVERSEAS - F.Z.E,UFZCompanyDetails.aspx?details=16561,AJMAN FREE ZONE
,UFZOnlineDirectory.aspx?cat=,A.M.E MASCHINEN MIDDLE EAST - F.Z.E,UFZCompanyDetails.aspx?details=16562,AJMAN FREE ZONE
,UFZOnlineDirectory.aspx?cat=,A.M.ENTERPRISES FZE,UFZCompanyDetails.aspx?details=10600,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,A.M.ENTERPRISES FZE,UFZCompanyDetails.aspx?details=10601,JEBEL ALI FREE ZONE
,UFZOnlineDirectory.aspx?cat=,A.N.Z MANAGEMENT GROUP (FZC),UFZCompanyDetails.aspx?details=13380,SAIF-ZONE
,UFZOnlineDirectory.aspx?cat=,A.O.SMITH FZE,UFZCompanyDetails.aspx?details=10945,JEBEL ALI FREE ZONE
GARMENTS - TRADERS & MANUFACTURERS,UFZOnlineDirectory.aspx?cat=GARMENTS - TRADERS & MANUFACTURERS,A.R. GARMENT INDUSTRIES (FZE),UFZCompanyDetails.aspx?details=6295,SAIF-ZONE
,UFZOnlineDirectory.aspx?cat=,A.S.A.P. MOBILE PHONE TRADING & SERVICES FZ-LLC,UFZCompanyDetails.aspx?details=14756,RAKIA
,UFZOnlineDirectory.aspx?cat=,A.T. KEARNEY (UAE) LIMITED,UFZCompanyDetails.aspx?details=11947,DUBAI INT. FINANCIAL CENTER
